Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Soil Type
Tirupathy,November,1981-2000,20,30.1,21.7,218.7,8
Tirupathy,December,1981-2000,20,28.9,19.9,130.5,8
Tura,January,1950-1985,35,23,11.5,8.7,3
Tura,February,1950-1985,35,25.2,13.4,11,3
Tura,March,1950-1985,35,29.3,17.4,53.4,3
Tura,April,1950-1985,35,31.2,20.4,147.8,3
Tura,May,1950-1985,35,30.1,20.7,402.8,3
Tura,June,1950-1985,35,29.1,21.3,611.5,3
Tura,July,1950-1985,35,28.8,22.2,628.3,3
Tura,August,1950-1985,35,28.8,22.1,458.8,3
Tura,September,1950-1985,35,29.1,21.6,377.4,3
Tura,October,1950-1985,35,28.8,19.6,210.7,3
Tura,November,1950-1985,35,26.6,15.9,28.5,3
Tura,December,1950-1985,35,23.8,12.9,2.4,3
Udaipur,January,1965-2000,36,24.3,7,2.4,6
Udaipur,February,1965-2000,36,27,9.3,13.8,6
Udaipur,March,1965-2000,36,32.6,14.6,6.2,6
Udaipur,April,1965-2000,36,37.3,20.2,5.2,6
Udaipur,May,1965-2000,36,39.7,25,16.9,6
Udaipur,June,1965-2000,36,37.3,26.1,75.2,6
Udaipur,July,1965-2000,36,32,24.5,175.1,6
Udaipur,August,1965-2000,36,30.2,23.2,195.3,6
Udaipur,September,1965-2000,36,32.3,21.4,89.4,6
Udaipur,October,1965-2000,36,33.4,16.9,16.3,6
Udaipur,November,1965-2000,36,29.4,11.8,12.8,6
Udaipur,December,1965-2000,36,25.5,7.8,2.9,6
Uthagamandalam,January,1901-2000,87,20.3,5.6,20.5,9
Uthagamandalam,February,1901-2000,87,20.9,6.5,10.2,9
Uthagamandalam,March,1901-2000,87,22.2,8.8,25.8,9
Uthagamandalam,April,1901-2000,87,22.6,10.7,75.4,9
Uthagamandalam,May,1901-2000,87,22,11.4,147.5,9
Uthagamandalam,June,1901-2000,87,18.3,11.2,136.7,9
Uthagamandalam,July,1901-2000,87,16.9,11,181.1,9
Uthagamandalam,August,1901-2000,87,17.4,10.9,123.7,9
Uthagamandalam,September,1901-2000,87,18.5,10.4,134.9,9
Uthagamandalam,October,1901-2000,87,18.8,10.1,189.2,9
Uthagamandalam,November,1901-2000,87,18.7,8.6,139.9,9
Uthagamandalam,December,1901-2000,87,19.7,6.7,52.8,9
Varanasi,January,1952-2000,48,23.2,8.8,17.6,10
Varanasi,February,1952-2000,48,26.7,11.3,15,10
Varanasi,March,1952-2000,48,33,16.3,7.9,10
Varanasi,April,1952-2000,48,38.8,22,4.4,10
Varanasi,May,1952-2000,48,40.9,26.2,10.5,10
Varanasi,June,1952-2000,48,38.8,27.9,96.6,10
Varanasi,July,1952-2000,48,33.8,26.4,309.9,10
Varanasi,August,1952-2000,48,32.8,26,273.2,10
Varanasi,September,1952-2000,48,32.7,25,246.4,10
Varanasi,October,1952-2000,48,32.7,20.7,35.1,10
Varanasi,November,1952-2000,48,29.3,14.1,10.7,10
Varanasi,December,1952-2000,48,24.6,9.6,6.5,10
Vijayawada,January,1978-1993,14,30.2,18.6,6.2,10
Vijayawada,February,1978-1993,14,32.7,20.6,4.6,10
Vijayawada,March,1978-1993,14,35.6,23.3,4.6,10
Vijayawada,April,1978-1993,14,38.2,26.2,4.8,10
Vijayawada,May,1978-1993,14,39.9,27.8,20.8,10
Vijayawada,June,1978-1993,14,37.2,26.9,80.8,10
Vijayawada,July,1978-1993,14,33.7,25,173,10
Vijayawada,August,1978-1993,14,33.1,25,146.2,10
Vijayawada,September,1978-1993,14,32.4,24.5,179.9,10
Vijayawada,October,1978-1993,14,32.4,23.2,57.2,10
Vijayawada,November,1978-1993,14,31,20.9,52.3,10
Vijayawada,December,1978-1993,14,30.3,19.7,5.8,10
Vishakhapatnam,January,1968-2000,29,27.7,20.6,14.2,10
Vishakhapatnam,February,1968-2000,29,29.2,22.2,21.1,10
Vishakhapatnam,March,1968-2000,29,30.8,24.4,8.3,10
Vishakhapatnam,April,1968-2000,29,31.8,26.3,25.6,10
Vishakhapatnam,May,1968-2000,29,33.1,27.5,68.7,10
Vishakhapatnam,June,1968-2000,29,32.8,27.4,124.6,10
Vishakhapatnam,July,1968-2000,29,31.2,26.2,142.1,10
Vishakhapatnam,August,1968-2000,29,31.3,26,165.2,10
Vishakhapatnam,September,1968-2000,29,31.3,25.8,164,10
Vishakhapatnam,October,1968-2000,29,31.1,24.9,238.2,10
Vishakhapatnam,November,1968-2000,29,29.6,23.1,124,10
Vishakhapatnam,December,1968-2000,29,27.9,20.9,6.7,10
